zone,type,var,p_x_to_co2,p_co2_to_x,sens
temperate_N,bande,ULWRF,0.023189019228332008,0.13744069644732454,X -> CO2
temperate_N,bande,DSWRF,0.3260587017757496,0.2172787188829486,none
temperate_N,bande,USWRF,8.243200355157559e-05,0.05441366065363444,X -> CO2
temperate_N,bande,PRMSL,0.0014189227344654364,0.0487593613805853,bidirectional
temperate_N,bande,CSDSF,0.8909681544384487,0.23184693130584977,none
temperate_N,bande,CSUSF,0.00045119541014235676,0.09303952841648844,X -> CO2
temperate_N,bande,CSDLF,0.0395042724712902,0.1599727291523113,X -> CO2
temperate_N,bande,CSULF,0.022787572696464982,0.13845525379364976,X -> CO2
temperate_N,bande,CDUVB,0.9183444243693749,0.9501763447748055,none
temperate_N,bande,DUVB,0.31858160913627886,0.3055178708209826,none
temperate_N,bande,ALBDO,0.0021501414875357114,0.008309994379677282,bidirectional
temperate_S,bande,T2m,0.29583166547973266,0.02725323315359554,CO2 -> X
temperate_S,bande,T500,0.5074613856583826,0.4806739642336373,none
temperate_S,bande,SPFH2m,0.4596559391441547,0.23032144514850544,none
temperate_S,bande,PWAT,0.36798047442831305,0.9190247936865039,none
temperate_S,bande,APCP,0.3969949595762065,0.6953258254592785,none
temperate_S,bande,TCDC,0.00023678846422047156,0.5282897464500249,X -> CO2
temperate_S,bande,DLWRF,0.0175283761702802,0.9145970337873474,X -> CO2
temperate_S,bande,ULWRF,0.08226867064773566,0.23967611181776277,none
temperate_S,bande,DSWRF,0.0679263264965446,0.9696631739855844,none
temperate_S,bande,USWRF,0.017199815493209498,0.7832502786972515,X -> CO2
temperate_S,bande,PRMSL,0.3814545572746491,0.44407026737400723,none
temperate_S,bande,CSDSF,0.8359384181354215,0.9482879959848857,none
temperate_S,bande,CSUSF,0.11814647712353879,0.4302402047105973,none
temperate_S,bande,CSDLF,0.3701283813914522,0.43434996263022085,none
temperate_S,bande,CSULF,0.08299214442472702,0.244172222101539,none
temperate_S,bande,CDUVB,0.9869763079614491,0.6603899626539091,none
temperate_S,bande,DUVB,0.12990290448937858,0.9385568908542719,none
temperate_S,bande,ALBDO,0.10405574676621501,0.30959408382696046,none
tropical,bande,T2m,3.652593470114127e-12,0.0031696364606585313,bidirectional
tropical,bande,T500,9.402464523821652e-14,0.00010679959366952191,bidirectional
tropical,bande,SPFH2m,3.350119783685998e-10,0.0012703416403026565,bidirectional
tropical,bande,PWAT,2.4980028166179166e-09,0.009543029965353408,bidirectional
tropical,bande,APCP,0.002645444825156515,0.04353341762031325,bidirectional
tropical,bande,TCDC,0.40322898037930555,0.3189475149813659,none
tropical,bande,DLWRF,3.864544800802784e-09,0.007578367102241497,bidirectional
tropical,bande,ULWRF,3.455588070278831e-11,0.00785713137460337,bidirectional
tropical,bande,DSWRF,0.0918625667145965,0.5008687437757119,none
tropical,bande,USWRF,0.08610204939278931,0.9722240615913377,none
tropical,bande,PRMSL,0.002134686540795346,0.10986080801691875,X -> CO2
tropical,bande,CSDSF,0.33073432901628175,0.13278169434936468,none
tropical,bande,CSUSF,0.04778537171921764,0.2971498890813517,X -> CO2
tropical,bande,CSDLF,4.8863540961400665e-11,0.005391330060088211,bidirectional
tropical,bande,CSULF,3.5398753976315215e-11,0.007580364246346187,bidirectional
tropical,bande,CDUVB,0.7832541363685995,0.2992726257342397,none
tropical,bande,DUVB,0.43666857370255174,0.70921029858406,none
tropical,bande,ALBDO,0.6979210506687206,0.36175771501557974,none
Amazonie,hotspot,T2m,2.1412921785968862e-10,0.0008463856207224475,bidirectional
Amazonie,hotspot,PWAT,0.39142990226936547,0.02236208714010194,CO2 -> X
Amazonie,hotspot,APCP,2.445093222978501e-06,0.0019517203480423763,bidirectional
Amazonie,hotspot,TCDC,3.24356430689462e-05,0.00043279909706147213,bidirectional
Indonesie,hotspot,T2m,2.0793349801592757e-05,3.2890627275991085e-06,bidirectional
Indonesie,hotspot,PWAT,0.00012594682379995698,0.0007579250230599976,bidirectional
Indonesie,hotspot,APCP,0.00011953865524262985,0.08321638659469562,X -> CO2
Indonesie,hotspot,TCDC,1.460622611907058e-05,0.03563476760543664,bidirectional
Siberie,hotspot,T2m,0.0002959948418977602,0.9276358658177936,X -> CO2
Siberie,hotspot,PWAT,0.03911083664890126,0.8408461110120795,X -> CO2
Siberie,hotspot,APCP,0.1895743950121237,0.9458689884579421,none
Siberie,hotspot,TCDC,0.3045530294079607,0.9958128555989045,none
Sahel,hotspot,T2m,0.08061898646338524,0.07717145987267274,none
Sahel,hotspot,PWAT,0.05470367845064043,0.3331153501094324,none
Sahel,hotspot,APCP,0.5289307811001491,0.3514321124186931,none
Sahel,hotspot,TCDC,0.9472256032540692,0.1829544021458235,none
