band,var,mean,sd
global,CSULF,398.01996877883425,6.850544300216656
global,CSUSF,32.91716061818129,2.9589137926985485
global,DLWRF,341.0712954450092,7.099046881431517
global,DSWRF,194.0289486143813,5.875669030533998
global,DUVB,3.3400133364549722,0.11632108042492405
global,PRMSL,101143.25354738918,14.792757507821056
global,PWAT,24.684628642580194,1.3517173413425505
global,SPFH2m,0.009909709963938279,0.0003919434766869319
global,T2m,287.68803251027026,1.3990303196019458
global,T500,258.58863121924577,0.8975138513800418
global,TCDC,60.5077945896928,2.3044637847985308
global,ULWRF,398.0223956690625,6.840667737279749
global,USWRF,26.165181118685602,2.84552443149136
