date,year,month,CRE_SW,CRE_LW,CRE_net
1994-09-01,1994,9,-45.269688174294174,25.86508573248193,-19.404602441812244
1994-10-01,1994,10,-45.60740468792417,26.08622328270343,-19.521181405220744
1994-11-01,1994,11,-45.64626758446383,25.704959853754133,-19.941307730709696
1994-12-01,1994,12,-47.986922776053035,25.394410874563505,-22.59251190148953
1995-01-01,1995,1,-49.679066114970425,25.65419907829039,-24.024867036680035
1995-02-01,1995,2,-46.1390639016123,25.309732598174662,-20.82933130343764
1995-03-01,1995,3,-44.23015567159945,25.77128153935149,-18.458874132247956
1995-04-01,1995,4,-43.468829914988646,26.399940537905707,-17.06888937708294
1995-05-01,1995,5,-42.62749378644486,26.25911615201403,-16.36837763443083
1995-06-01,1995,6,-43.6576876847862,26.027469398016024,-17.630218286770173
1995-07-01,1995,7,-44.396603676610226,25.525197003096196,-18.87140667351403
1995-08-01,1995,8,-46.61871150525931,26.12327130379174,-20.495440201467574
1995-09-01,1995,9,-48.39075041419915,27.21961247367301,-21.171137940526137
1995-10-01,1995,10,-47.31672607677834,27.006207315841095,-20.310518760937242
1995-11-01,1995,11,-48.65773823953708,26.50775143083456,-22.149986808702522
1995-12-01,1995,12,-50.53110082789314,26.560398983534526,-23.970701844358615
1996-01-01,1996,1,-50.167759666588864,26.05792229991016,-24.109837366678704
1996-02-01,1996,2,-46.94620196668808,25.51592946226623,-21.43027250442185
1996-03-01,1996,3,-45.33672229448942,26.324728402880567,-19.011993891608853
1996-04-01,1996,4,-41.59051853600647,25.51841263174981,-16.07210590425666
1996-05-01,1996,5,-42.52262976663761,26.363104594065703,-16.159525172571904
1996-06-01,1996,6,-44.19621939104667,26.38560188768861,-17.81061750335806
1996-07-01,1996,7,-44.67800660942967,26.15306555795962,-18.52494105147005
1996-08-01,1996,8,-45.38659571270702,26.12644881645133,-19.26014689625569
1996-09-01,1996,9,-46.10543607999918,26.40852855786585,-19.69690752213333
1996-10-01,1996,10,-47.976253814416395,27.01281659840481,-20.963437216011584
