date,year,month,T2m,T500,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO,CRE_SW,CRE_LW,CRE_net,co2_avg,co2_trend
1991-02-01,1991,2,-0.07729662907172496,-0.2410406350159633,-0.00011397312223685938,-0.5859429113241035,-0.010059461781047885,-2.8992406572130704,-1.5367040885791425,-0.3236718539119465,1.025705076276381,-0.25246284580159895,-10.10900044614391,0.7078150693584746,-0.2545924976382139,-1.6080431077584763,-0.31971811143318973,0.00752585760133595,0.012694984638684126,-0.02930871663489576,0.31576035508127376,0.07529276165807985,0.39105311673935716,-20.269999999999982,-20.12170212765949
1991-03-01,1991,3,-0.2678939822086477,0.07954600185667005,-0.00016466168575816204,-0.7886642656884888,-0.02092163215629128,-2.2487568362178365,-1.3995265626749642,-1.2509932313249692,-2.0776261665352536,-0.2493030495548041,-4.943354711911525,0.5928498554445127,-0.07766538496996844,-2.0799389865987337,-1.244780698618058,-0.00034972036544367313,-0.036923825171740976,0.043540522790269875,-2.498838357394959,0.6866249566306735,-1.8122134007642892,-20.20191489361696,-20.12468085106383
1991-04-01,1991,4,-0.0737619357796575,-0.4720076630793528,-0.0001616722528807006,-0.7185926035035912,-0.02086671074893831,-3.0428724052363734,-1.747968133334382,-0.357071002978671,0.435069630577658,-0.24194949546596334,-2.8914332284912234,0.6079148636044067,-0.17305524070351908,-1.7419347308505166,-0.3526971616919923,-0.004487494921023849,-0.005535806157084711,0.0016893749756814458,-0.10395097826428668,-0.0016595611971617075,-0.10561053946144483,-20.099361702127624,-20.086382978723407
1991-05-01,1991,5,-0.11411034292939348,-0.2646664970312145,-0.00014345919056498596,-0.6821086744477363,-0.01506487983667082,-2.4410645289244357,-1.4687416228003372,-0.35425273710148986,-0.28471903678129706,-0.5123080500240249,-0.7718256075895624,0.5310957600320876,-0.33679354003452033,-1.8218644856320907,-0.3533085239244542,-0.012969933411546286,-0.021827136154251914,-0.06536096769940336,-0.6403002868238872,0.3540670760087359,-0.2862332108151495,-20.188510638297828,-20.205531914893584
1991-06-01,1991,6,0.08978699470043239,-0.038520202542315474,-5.2982417609124394e-05,-0.45230904891475987,-0.013485745799870608,-1.5294184751771596,0.14517902255744275,0.32609159923742936,-1.6655392076403643,-0.5440226276599702,-8.334837616974255,-0.41971334508789937,-0.3373980510929897,-0.6226149368629876,0.3233253702782122,-0.03085079472248209,-0.043097571454872696,-0.14330740104046313,-1.0392012859854773,0.7650277304613624,-0.27417355552411493,-20.280212765957458,-20.291914893617047
1991-07-01,1991,7,0.0025561629489629922,-0.25915936579929166,-0.00016893346021098696,-0.7267223118276398,-0.02004772507766661,-2.435038808151752,-1.1879957725472536,0.12241980686479792,-1.1276047905372195,-0.3319098357843693,-2.8329266302316682,-1.3053733925479207,-0.4213735264173337,-1.6664206707352491,0.12540378613033454,-0.05637109882522795,-0.05025801098430227,-0.2173322647308158,0.08830491137769769,0.48140887745355343,0.5697137888312511,-20.328297872340443,-20.341489361702088
1991-08-01,1991,8,-0.06066453296097052,-0.03372309846696453,-0.00016287960042460706,-0.585686031204375,-0.02086050083769686,-1.657755091220558,-1.0111503250980718,-0.507374864838539,-3.7801456575148507,-0.6095715525890455,-3.736067559730145,-3.1493001917149286,-0.5558033593861111,-1.7582698368083811,-0.5035163560277169,-0.09328550398971691,-0.09683711015705887,-0.2606455722223888,-0.5770772725970303,0.7509780205211456,0.1739007479241188,-20.50446808510634,-20.610000000000014
1991-09-01,1991,9,-0.11805431667750099,-0.44108915127714,-0.0002501318876107477,-1.1587714799139732,-0.0300520627813059,-3.0140771161578783,-2.6818594802156213,-0.519826724154882,-2.0832889409399797,-0.594233447079219,8.895451224903809,-4.150016382489724,-0.9845396402413265,-2.7724526617736274,-0.5115262343700238,-0.1239274520095015,-0.08855663142354642,-0.3873369241885829,1.676421248387605,0.09889367134283944,1.775314919730441,-20.765531914893586,-20.884893617021305
1991-10-01,1991,10,-0.19128530249344067,-0.5449491961082913,-0.00029692712386156055,-1.1319270301432098,-0.01868094275754062,-2.7248327482251824,-2.640795493303756,-0.9299586179531047,-3.4287575377635733,-1.187058460405563,-2.4305470566032454,-5.270023656463479,-1.6256692037204985,-2.8173651496056777,-0.9206515506286337,-0.15318841357593538,-0.11996485724046702,-0.4394427449566134,1.4026553753849598,0.18587672362639296,1.5885320990113492,-21.03000000000003,-21.098723404255338
1991-11-01,1991,11,-0.22565521897780627,-0.6093431690251236,-0.0002629308248089813,-1.0306115354519996,-0.021067848877364126,-2.506164526612608,-2.9181557396598805,-1.1798644714254465,-3.5144443399512397,-1.4921806857721478,-3.532676641989383,-6.058915943249161,-2.0147462539693777,-2.7917243988529776,-1.1675992970990023,-0.17412925063161078,-0.13224491710624608,-0.46230880560106336,2.0219060351006988,-0.11416616648045519,1.9077398686202436,-21.246382978723375,-21.289787234042535
