year,month,date,T2m,T500,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO,CRE_SW,CRE_LW,CRE_net
1990,8,1990-08-01,289.3301030765167,259.4029936902044,0.0102599175278429,25.50921021639303,0.5252319372187836,58.09034102108194,349.05431956537626,406.1813554871892,186.25089065803945,21.078995850621563,101135.9628324458,238.03780133515812,27.50704644141307,322.8982049939916,406.1850844663066,3.819961518541173,3.195955581956578,9.18444449447068,-45.358860086327155,26.159843550502046,-19.19901653582511
1990,9,1990-09-01,288.6450843312701,258.71600946894216,0.0099343445176251,24.476758309444264,0.5124240303289639,57.46852100100611,344.6402180599519,402.5711596400373,189.91911929499383,22.028312104743293,101125.95891861604,242.76176825098813,28.487462013235785,318.2920060851276,402.5814109608797,3.880770385810652,3.249782734898072,10.18003810969666,-46.3834990475018,26.358463295666695,-20.025035751835105
1990,10,1990-10-01,287.706239544869,258.1376917637084,0.0096472527135772,23.58169323199789,0.5101429073481987,57.509861088316114,339.22705369886023,397.7045460248512,194.85805848523407,25.661961978847952,101130.55155906474,248.64730969562916,32.26993274225186,313.1628630108827,397.7122267684206,3.9845485996720487,3.337192421730053,10.97448819723693,-47.181280446991195,26.071871431546924,-21.10940901544427
1990,11,1990-11-01,286.5845775426109,257.8561437182868,0.0093995064334214,22.89093004463515,0.5102856635323032,58.79795411674222,334.63696191477504,392.3935928814954,197.8438558273044,29.21875715092757,101132.17747161307,253.9264434555264,36.1028818476989,308.1877304035039,392.4024609996122,4.098752916745262,3.415927046925888,11.031580538956096,-49.19846293145065,26.458099629387902,-22.740363302062747
1990,12,1990-12-01,285.82842260773174,257.61768770060274,0.009275510896765,22.721542036094394,0.4992185271556069,59.00173347754051,331.7724707469044,389.0304887207421,200.13347572665808,29.729125432826784,101139.47540727252,256.65965908129,36.426890506446256,305.51386692373006,389.02930270854944,4.16481856119783,3.4697419661676365,10.57997099296522,-49.82841828101243,26.25741781098168,-23.571000470030754
1991,1,1991-01-01,285.5804800182057,257.4335089039852,0.0093862609877037,22.99808804322159,0.5074996572951467,59.03411160451129,330.90826839615727,387.8185072188243,199.20476213869148,28.253971618325554,101149.15491459548,255.8699553165036,34.79176550049946,305.3782382881175,387.7994509489192,4.169941861995082,3.465882238044763,10.794785433543291,-50.12739929563821,25.510973838134646,-24.616425457503567
1991,2,1991-02-01,285.9684800913377,257.6250884339208,0.0095144359869853,23.19345187434013,0.511827479355365,57.65755584364799,331.8876583063471,389.9111537936393,200.4360574665728,26.60824493066032,101147.36082929862,253.24927553005813,32.97644726513797,306.9703325857202,389.8914441692892,4.114528578187714,3.469967931036045,11.43539073272962,-46.44501572900768,24.89761609627675,-21.54739963273093
1991,3,1991-03-01,286.4648383846548,258.0027734397838,0.0096058744149302,23.33019249970536,0.4979501908483458,58.14322419955794,335.1399278513293,392.36162507507424,195.61503042362227,26.16806353839998,101152.07194696926,248.9765129885081,33.10762039480023,309.33220811372814,392.3477604909128,4.016177021709477,3.369424043728532,11.963195413379962,-46.42192570848559,25.793855153439665,-20.628070555045923
1991,4,1991-04-01,287.600436614016,257.7396620944727,0.0097386670748551,23.84579804961129,0.4993762785087882,57.41036179075162,338.72716816035665,397.6584336880711,195.86463345162989,26.85260280660434,101146.41347683036,244.85600773658103,34.0392834923164,313.4748968660223,397.65472525011234,3.913164148674516,3.3314481963180045,11.396539091373985,-41.8046935992391,25.2485628563756,-16.556130742863502
1991,5,1991-05-01,288.4959331976025,258.52110611969124,0.009923744750128,24.42312565729539,0.5134390431694286,58.00103180846164,343.3138000689694,402.0724282741222,191.5226924977921,26.52377116390341,101137.86242042592,240.8607744558524,34.051612764362226,317.56787216113594,402.08152917645975,3.831348002613088,3.243846273298017,10.15143600969402,-41.81024035760149,25.755028810170984,-16.055211547430503
1991,6,1991-06-01,289.4114921571414,259.4447868147216,0.0101969054420411,25.34866437338212,0.5277156317022138,58.68779072680666,348.9259214585172,406.30606209929806,185.7644295071437,24.162512767316663,101123.34145251414,236.76628957905123,31.56988727240451,322.8772006216604,406.3140001489113,3.770940181507488,3.1581930990667497,8.892549692703831,-43.594485566819685,26.056658886470075,-17.53782668034961
1991,7,1991-07-01,289.6013086025391,259.68777924842584,0.0102778250911943,25.881939846216778,0.5296902768431356,57.71253139977038,350.1435284341111,407.6089840337244,184.05356271073788,22.124983971241413,101130.40122361864,234.2639105267924,28.761802245488592,324.6073570980608,407.61849070635947,3.7387080888755806,3.130903719535454,8.539559392731878,-43.573529541807346,25.545678008685343,-18.027851533122004
1991,8,1991-08-01,289.420829743187,259.7767501675553,0.0102803153340573,25.840690287539974,0.5244648527301682,58.143863610455874,349.6213661301644,406.408882349757,182.687011398657,20.659667801394303,101130.6350864616,234.16981812428892,27.03481636830653,323.7053059893478,406.41846147788505,3.7287243544656743,3.110054319032808,9.047159299254108,-45.10765815871969,25.92563926894468,-19.18201888977501
1991,9,1991-09-01,288.716846885349,258.7221813957252,0.0098985156741754,24.19554156677624,0.5044855850129488,56.63542942490616,343.8083119408617,403.0135746902458,188.44333796020396,21.850470340189062,101145.06121812366,237.86162951507643,27.78824274182181,318.1356446500062,403.0323475895887,3.7592304445746794,3.180014144046761,9.96752151234389,-43.480519153239726,25.69144019019842,-17.789078963041305
1991,10,1991-10-01,287.6083703709167,257.8893295728188,0.0094978498543028,23.12222414486794,0.5069863499480156,57.55730692523887,338.2984803812741,397.27782244616793,191.6268538919233,25.08382506659595,101136.28444038169,242.74405903808776,31.303577511247923,312.1043275458108,397.294641009091,3.836110755829041,3.234082034539798,10.74115797620806,-44.89745270151249,26.210971398386334,-18.686481303126158
1991,11,1991-11-01,286.45877759658606,257.32170926190486,0.0092773411739625,22.572329814094815,0.5032562129853206,58.63156192783873,332.8777914141257,391.5564600139882,195.1643142043256,28.589485272324957,101138.966777498,247.20395950026133,34.978242804783,307.0111170496808,391.566965879223,3.9256184319512033,3.303428829451795,10.792269018444276,-45.6508877634777,25.877180229679652,-19.773707533798046
1991,12,1991-12-01,285.76620638885674,257.2114643489754,0.0092164185696644,22.479595905040824,0.4928049204079228,59.57735803914304,330.751532369344,388.7187467767493,196.6982456281477,29.07469077604449,101147.82154286596,250.4348643109377,35.348245129498146,304.8157245542797,388.72121691286736,4.011833103610064,3.3631697918939314,10.407078805638305,-47.46306432933636,25.93827795118233,-21.524786378154033
1992,1,1992-01-01,285.639604836687,257.1983047856436,0.0091788032386101,22.304017697878685,0.4978526090199057,58.67768619204046,329.7661189437512,388.0892303774567,196.671199490484,27.43959721503212,101140.15991260156,249.7393212590851,33.395381967836954,304.2165445100578,388.0745575915746,4.016598118950222,3.370936359323421,10.462302325105885,-47.11233701579624,25.534901647811296,-21.577435367984947
