year,month,date,T2m,T500,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO
1980,9,1980-09-01,288.6923354308192,258.98689345842706,0.009952692851418077,24.474410139191967,0.5210914244723911,57.53217450002641,344.66047125106826,402.6102473185156,190.27296507345767,22.54842783169002,101133.64179608718,242.84022523369498,28.980270986219562,318.57291569227743,402.6313058570734,3.867152691727331,3.2416913436330126,10.429101065647188
1980,10,1980-10-01,287.5671935387524,257.96561784544974,0.009608614253798652,23.59707367487238,0.5135370807976873,58.65366771899776,339.4026805106068,397.0537267375779,194.1526480178861,26.071290739558485,101140.7072185311,248.7199546831726,32.867689219084184,312.56988828859704,397.07418156623953,3.9675743257929876,3.3181466777206468,11.132662058125282
1980,11,1980-11-01,286.5145789922727,257.48521561294547,0.00938210618777738,22.86180675875078,0.5081694864190685,58.645557079993246,333.7205880410774,392.01895843792494,200.21260537423169,30.038943329269465,101139.03859287527,253.92513597366747,36.74512350894962,307.84424074543426,392.0116534490534,4.07319798230128,3.426078149848382,11.209528812173822
1980,12,1980-12-01,285.8312962071875,257.242557784712,0.009309875669347635,22.68948228883071,0.4991282661743435,58.47012077680517,330.72609625749925,388.83633794789375,202.87637645833212,30.356429999314432,101140.9237604827,256.65015205111837,36.69518501182147,305.2997681018372,388.79703577919486,4.13162691860619,3.4798883397733915,10.660423576215
1981,1,1981-01-01,285.93933057799944,257.4884267455551,0.009384744784139592,22.89508673342606,0.5211312667571683,58.59535064238927,331.4996024000787,389.2224247860543,201.1727457026365,28.47482778594562,101144.83047605527,255.83883919396428,34.69340620770782,306.1832560221885,389.1786796964104,4.132657093409638,3.464770244530767,10.735926056992657
1981,2,1981-02-01,286.0435096395188,257.7367435895245,0.009559027574787002,23.472159110097316,0.5251014045895129,59.41208759014284,333.59024089847264,389.7742081492953,197.15886857078436,26.539073295880225,101152.29838674149,252.78045863466443,33.15365499045664,307.6558810424072,389.74192914124114,4.08846330195906,3.412286018971273,11.390717260897281
1981,3,1981-03-01,286.77436765761996,257.70552418647844,0.00971525115128299,23.73005337172606,0.50742161129239,58.59397393116861,336.21609859511796,393.4459487993395,196.7670393319511,26.23018942510181,101141.76926093237,248.6616685691888,33.12224688318138,310.7789762601427,393.42945558970246,3.996171949834332,3.3751437484239313,11.860567877194649
1981,4,1981-04-01,287.5963197413713,257.8574341866262,0.009805092532097662,23.934307157292366,0.504617090990277,58.296510226224285,339.23375240194093,397.41675428300783,195.2556859858536,27.288085410128275,101153.84528880662,244.71083574792385,34.444661322652635,313.68319796412453,397.438625278527,3.8978490918336552,3.3141412127693095,11.373166932115515
1981,5,1981-05-01,288.5191182177961,258.61789587878184,0.009931234872415111,24.494855987625836,0.5215739959204547,58.35569599805694,343.55169472362746,401.77845752690934,191.9780771477414,27.234730289590075,101136.74921177403,240.8747484409981,34.54905365408617,317.71171497693433,401.82088151178664,3.828943818662835,3.2487319939756785,10.188065080160115
1981,6,1981-06-01,289.28984377640955,259.1834046465882,0.010103088654293832,25.0516304730027,0.5303008097442887,58.34961636476475,347.48542911904497,405.70881619865503,187.92126335513393,24.814703651999775,101120.63560404065,237.81498614043295,32.0504926551209,321.5548043726151,405.74477031185006,3.7895336476123025,3.191940901367434,9.013062985991917
1981,7,1981-07-01,289.4767338826509,259.8527057838814,0.010305783762662423,25.954156955126876,0.5470230698685722,59.23630384274335,350.2834722628406,406.58443545036494,183.49162507678122,22.714339060111833,101118.08713686124,236.2195780250564,29.908269234420178,324.2425954370507,406.6142157544545,3.786658895950098,3.1446315887898875,8.874902117896045
1981,8,1981-08-01,289.4377076298659,259.6665358804195,0.01022975722897626,25.26333672428727,0.5376431842707614,57.85923255725234,348.3615596847947,406.35561920608313,186.64447548082381,21.483338425573333,101116.85186996806,238.29822047638808,28.03374089322075,322.93468574016356,406.3805022791763,3.811403952174556,3.1872006935045074,9.370276464716348
1981,9,1981-09-01,288.7208514959834,258.84625917546754,0.009981868037264278,24.38165031826633,0.529842339972572,56.95445104408068,343.51623015723845,402.6105284787661,192.32863514570946,22.603576079026684,101121.43517257161,242.90917731855097,28.895528056675776,318.4367117377626,402.62711517816246,3.8653203916290293,3.2645750892269696,10.377957192703906
1981,10,1981-10-01,287.5486532213609,257.97843958473203,0.009585568923663818,23.255486951176074,0.5220003177312522,57.78859037205045,337.74388571287244,396.8592608213799,196.36526341304292,26.313974212084823,101135.04170444049,248.9433593267644,32.911073450949516,311.97948483078324,396.8710799660534,3.960686241522867,3.3336938459172587,11.159828672958545
1981,11,1981-11-01,286.3441383060363,257.4811733501641,0.00932239612495148,22.651793958092988,0.5170755807065307,59.22716012848429,333.0901299813396,390.79969245567776,197.73838063234118,29.966516081696387,101142.26325447048,254.1493019706532,36.999688469261166,306.6685731062733,390.796364165666,4.068315162808625,3.3827564417073366,11.300955027961672
1981,12,1981-12-01,285.8524061791192,257.3651722435505,0.009266260879068296,22.724000249966615,0.5131149954801772,59.28287139311598,330.8070737359632,388.6078166408963,200.01068383745988,30.48659695027856,101136.07231558552,256.7115845998742,37.1262465415877,305.1199283983352,388.600333143733,4.1352648966668815,3.439827480258183,10.858612859643948
1982,1,1982-01-01,285.25543007279504,257.2278849016398,0.009266482168966549,22.52245488981358,0.5179419961192497,58.88347190302671,328.9392643182557,386.61262946897784,200.4067657227166,28.755025871952853,101147.08192460214,256.0926206454099,35.271765674712775,303.6536991767831,386.5962000883773,4.146316619991565,3.46120538862953,11.085539669461241
1982,2,1982-02-01,285.5681295538757,257.40736734600387,0.009430506486793883,23.079207819165383,0.5173669639029782,60.04022218458628,331.4829741835303,387.76012169096333,197.77584788458472,27.353964084707602,101154.89175025771,253.11052793607857,34.078936623500546,305.6176147030875,387.74119959459097,4.090505831103431,3.4156573936518195,11.847862648192523
