var,lambda,log_lambda,coef
PWAT,0.00958154049042655,-4.647916897168233,-0.0
PWAT,0.010273971804249106,-4.578141591319929,-0.0
PWAT,0.011016443205554576,-4.508366285471625,-0.0
PWAT,0.011812570952454506,-4.43859097962332,-0.0
PWAT,0.01266623263998823,-4.368815673775016,-0.0
PWAT,0.01358158608621666,-4.299040367926711,-0.0
PWAT,0.014563089583161597,-4.229265062078407,-0.0
PWAT,0.015615523611224159,-4.159489756230102,-0.0
PWAT,0.016744014122843938,-4.089714450381798,-0.0
PWAT,0.017954057508803488,-4.0199391445334935,0.0
PWAT,0.01925154736877831,-3.950163838685189,0.0
PWAT,0.020642803216520064,-3.880388532836885,0.0
PWAT,0.022134601259483733,-3.8106132269885804,0.0
PWAT,0.02373420740281282,-3.740837921140276,0.0
PWAT,0.02544941263843095,-3.6710626152919716,0.0
PWAT,0.027288570991604765,-3.6012873094436673,0.0
PWAT,0.02926064020979953,-3.531512003595363,0.0
PWAT,0.03137522539200532,-3.461736697747058,0.0
PWAT,0.033642625771033295,-3.3919613918987537,0.0
PWAT,0.036073884876638776,-3.3221860860504493,0.0
PWAT,0.03868084432379367,-3.252410780202145,0.0
PWAT,0.04147620148808802,-3.1826354743538405,0.0
PWAT,0.04447357134917257,-3.112860168505536,0.0
PWAT,0.04768755280345517,-3.0430848626572318,0.0
PWAT,0.05113379976903147,-2.973309556808928,0.0
PWAT,0.05482909742917148,-2.903534250960623,0.029295799273878292
PWAT,0.05879144398571109,-2.833758945112318,0.06568068034855576
PWAT,0.06304013832053394,-2.7639836392640142,0.10432163130727097
PWAT,0.06759587399210545,-2.69420833341571,0.14544753981236253
PWAT,0.07248084002487477,-2.624433027567405,0.18954488217271212
PWAT,0.07771882898244711,-2.554657721719101,0.2368969876243155
PWAT,0.08333535285090395,-2.4848824158707967,0.2876285645129008
PWAT,0.08935776729668884,-2.4151071100224923,0.34154319396776534
PWAT,0.0958154049042655,-2.3453318041741875,0.3795356024269138
PWAT,0.10273971804249106,-2.275556498325883,0.3366737345917506
PWAT,0.11016443205554577,-2.2057811924775788,0.2901576712106576
PWAT,0.11812570952454506,-2.1360058866292744,0.24031098588150476
PWAT,0.12666232639988229,-2.06623058078097,0.1920046479421971
PWAT,0.1358158608621666,-1.9964552749326656,0.14296377213593275
PWAT,0.14563089583161595,-1.9266799690843612,0.10075245864248797
PWAT,0.1561552361122416,-1.8569046632360569,0.056150381385344963
PWAT,0.1674401412284394,-1.7871293573877525,0.008235051594762538
PWAT,0.1795405750880349,-1.717354051539448,0.0
PWAT,0.192515473687783,-1.647578745691144,0.0
PWAT,0.20642803216520053,-1.5778034398428396,0.0
PWAT,0.22134601259483722,-1.5080281339945352,0.0
PWAT,0.23734207402812835,-1.4382528281462297,0.0
PWAT,0.2544941263843096,-1.3684775222979255,0.0
PWAT,0.27288570991604777,-1.2987022164496211,0.0
PWAT,0.29260640209799543,-1.2289269106013168,0.0
PWAT,0.3137522539200532,-1.1591516047530124,0.0
PWAT,0.33642625771033297,-1.089376298904708,0.0
PWAT,0.3607388487663878,-1.0196009930564036,0.0
PWAT,0.3868084432379367,-0.9498256872080992,0.0
PWAT,0.41476201488088016,-0.880050381359795,0.0
PWAT,0.4447357134917257,-0.8102750755114906,0.0
PWAT,0.4768755280345517,-0.7404997696631863,0.0
PWAT,0.5113379976903147,-0.6707244638148819,0.0
PWAT,0.5482909742917148,-0.6009491579665776,0.0
PWAT,0.5879144398571106,-0.5311738521182732,0.0
PWAT,0.6304013832053391,-0.4613985462699689,0.0
PWAT,0.6759587399210549,-0.3916232404216634,0.0
PWAT,0.724808400248748,-0.32184793457335914,0.0
PWAT,0.7771882898244715,-0.25207262872505476,0.0
PWAT,0.83335352850904,-0.18229732287675038,0.0
PWAT,0.893577672966889,-0.11252201702844604,0.0
PWAT,0.958154049042655,-0.042746711180141735,0.0
PWAT,1.0273971804249107,0.027028594668162688,0.0
PWAT,1.1016443205554576,0.0968039005164669,0.0
PWAT,1.1812570952454506,0.16657920636477141,0.0
